2016-12-01 17:18:07 INFO  searcher:31 - 1 domains selected to search
2016-12-01 17:18:07 INFO  searcher:38 - Đà Nẵng domain searching started
2016-12-01 17:18:07 INFO  searcher:44 - Đà Nẵng domain last searched 2016-11-27T10:18:07Z
2016-12-01 17:24:14 INFO  searcher:108 -  Xem phim 'thả ga' với 100.000 đồng : http://kinhdoanh.vnexpress.net/tin-tuc/hang-hoa/khuyen-mai/xem-phim-tha-ga-voi-100-000-dong-3503238.html
2016-12-01 17:24:14 INFO  searcher:108 -  MISA tặng miễn phí phần mềm kế toán cho công ty khởi nghiệp : http://kinhdoanh.vnexpress.net/tin-tuc/hang-hoa/khuyen-mai/misa-tang-mien-phi-phan-mem-ke-toan-cho-cong-ty-khoi-nghiep-3502739.html
2016-12-01 17:24:14 INFO  searcher:108 -  Hơn 6.000 sản phẩm bị loại khỏi Online Friday vì giảm giá ảo : http://kinhdoanh.vnexpress.net/tin-tuc/thuong-mai-dien-tu/hon-6-000-san-pham-bi-loai-khoi-online-friday-vi-giam-gia-ao-3505894.html
2016-12-01 17:24:14 INFO  searcher:108 -  Tiki.vn khuyến mãi ngày Online Friday : http://kinhdoanh.vnexpress.net/tin-tuc/doanh-nghiep/doanh-nghiep-viet/tiki-vn-khuyen-mai-ngay-online-friday-3506414.html
2016-12-01 17:24:14 INFO  searcher:108 -  Cơ hội dùng thử đệm Nhật Bản miễn phí trong 30 ngày : http://kinhdoanh.vnexpress.net/tin-tuc/hang-hoa/khuyen-mai/co-hoi-dung-thu-dem-nhat-ban-mien-phi-trong-30-ngay-3503410.html
2016-12-01 17:24:14 INFO  searcher:108 -  1.000 vé liveshow Hà Anh Tuấn tại Hà Nội bán hết trong hai ngày : http://giaitri.vnexpress.net/tin-tuc/nhac/lang-nhac/1-000-ve-liveshow-ha-anh-tuan-tai-ha-noi-ban-het-trong-hai-ngay-3507270.html
2016-12-01 17:24:14 INFO  searcher:108 -  Hơn 60% người Nga muốn Putin tái đắc cử tổng thống : http://vnexpress.net/tin-tuc/the-gioi/hon-60-nguoi-nga-muon-putin-tai-dac-cu-tong-thong-3500099.html
2016-12-01 17:24:14 INFO  searcher:108 -  BAE-146 : http://vnexpress.net/tin-tuc/the-gioi/tu-lieu/bae-146-chiec-phi-co-menh-danh-loi-thi-tham-roi-o-colombia-3506279.html
2016-12-01 17:24:14 INFO  searcher:108 -  Quang Lý : http://giaitri.vnexpress.net/tin-tuc/gioi-sao/trong-nuoc/quang-ly-con-nguoi-gian-di-trong-ky-uc-dong-nghiep-3507109.html
2016-12-01 17:24:14 INFO  searcher:108 -  Cá mập trắng ngoạm hải cẩu xám sát mép bờ biển Mỹ : http://vnexpress.net/tin-tuc/khoa-hoc/ca-map-trang-ngoam-hai-cau-xam-sat-mep-bo-bien-my-3507203.html
2016-12-01 17:24:14 INFO  searcher:108 -  Donald Trump ăn tối với ứng viên ngoại trưởng Mitt Romney : http://vnexpress.net/tin-tuc/the-gioi/donald-trump-an-toi-voi-ung-vien-ngoai-truong-mitt-romney-3506584.html
2016-12-01 17:24:14 INFO  searcher:108 -  Vợ ca sĩ Quang Lý: 'Chồng tôi mất mà chưa kịp trăn trối gì' : http://giaitri.vnexpress.net/tin-tuc/gioi-sao/trong-nuoc/vo-ca-si-quang-ly-chong-toi-mat-ma-chua-kip-tran-troi-gi-3507127.html
2016-12-01 17:24:14 INFO  searcher:108 -  Tin Gia đình: đời sống, tổ ấm, chăm con, nội trợ, tiêu dùng : http://giadinh.vnexpress.net/
